Season,Sector,Category,Crop,QueryType,QueryText,KccAns,StateName,DistrictName,BlockName,CreatedOn
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management in sugarcane,Azatobacterium radiobacter/Azospyrillum avamori at 4 kg mixed with 200 kg FYM/ acre and apply 30 days after planting.Azospyrillum avamori bio- fertilizer is suitable for ordinary and saline soils and Bacillus megaterium for ordinary alkaline soils.,KARNATAKA,BELGAUM,PARASGAD,18:34.2
,AGRICULTURE,,,Weather,Asked about weather report of athani taluk,Partly cloudy. Hot. Low 24ï¿½ï¿½C. Winds W at 15 to 30 k,KARNATAKA,BELGAUM,ATHNI,20:31.8
,HORTICULTURE,Fruits,Ber,,Asked about Nutrient management in ber,suggested to have proper irrigation,KARNATAKA,BELGAUM,ATHNI,22:02.7
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",ThripsLacerate the leaf from ventral surface.Reduction of leaf size and upward curling of such leaves.,"Spray 1.7 ml. Dimethoate 30EC.OR1.0 g. Acephate 75 SP. in alit. water when seedlings are three weeks old. 25 to 30 lit. spray solution required/nursery.Repeat the spray at 2nd, 5th, 7th and 11th weeks after transplanting. 25 to  30 lit. spray solution required/spray/acre.",KARNATAKA,BELGAUM,BELGAUM,48:39.9
,AGRICULTURE,Others,Others,Weather,Asked about weather report,DAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT14 MAYPartly Cloudy--22ï¿½ï¿½10%W 17 km/h69%WED15 MAYPartly Cloudy38ï¿½ï¿½22ï¿½ï¿½10%NW 16 km/h46%THU16 MAYPartly Cloudy38ï¿½ï¿½22ï¿½ï¿½10%NW 15 km/h44%FRI17 MAYMostly Sunny38ï¿½ï¿½23ï¿½ï¿½10%NW 14 km/h44%SAT18 MAYMostly Sunny38ï¿½ï¿½24ï¿½ï¿½10%NW 13 km/h45%SUN19 MA,KARNATAKA,BELGAUM,HUKERI,49:15.9
,AGRICULTURE,Others,Others,Weather,Asked about weather report,DAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT14 MAYPartly Cloudy--22ï¿½ï¿½10%WSW 15 km/h83%WED15 MAYPartly Cloudy38ï¿½ï¿½22ï¿½ï¿½10%W 19 km/h50%THU16 MAYPartly Cloudy38ï¿½ï¿½22ï,KARNATAKA,BELGAUM,ATHNI,52:18.1
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),"	Plant Protection	",Asked about plant protection of sugarcane,Recommended to spray chlorophyriphos 2ml in one one litre of water,KARNATAKA,BELGAUM,CHIKODI,50:48.6
,AGRICULTURE,Others,Others,Weather,Asked about weather report raybag taluk,Generally clear. Hot. High 40ï¿½ï¿½C. Winds NW at 10 to 15 k,KARNATAKA,BELGAUM,RAYBAG,55:12.5
,AGRICULTURE,Others,Others,Weather,Asked about weather information gokarna,Generally clear. Hot. High 40ï¿½ï¿½C. Winds NW at 10 to 15 k,KARNATAKA,BELGAUM,GOKAK,20:09.6
,AGRICULTURE,Others,Others,Crop Insurance,Asked about crop insurance,CROP INSURANCE - 080-22074123080-2656 4535080-2656 4536080-2656 4537,KARNATAKA,BELGAUM,ATHNI,21:29.2
,HORTICULTURE,Vegetables,Tomato,"	Plant Protection	",Asked about Plant Protection in tomato,Recommended to spray 0.5 ml. Imidachloprid 17.8 SL. in a lit. water. 200 to 250 lit. spray solution required/acre.  AND SPRAY VEGETABLE SPECIAL 2ML/LTR OF WATER,KARNATAKA,BELGAUM,RAYBAG,34:53.0
,AGRICULTURE,Others,Others,Weather,Asked about weather information of Ramdurga taluk,Generally clear. Hot. High 40ï¿½ï¿½C. Winds NNW at 10 to 15 k,KARNATAKA,BELGAUM,RAMDURG,39:21.3
,AGRICULTURE,Pulses,Moth Bean (kidney bean/ deww gram),Nutrient Management,Asked about Nutrient management in field bean.,Recommended to Apply :- 10:26:26 complex fertilizer and also suggested to spray 19:19:19 @ 5g/lit of water.,KARNATAKA,BELGAUM,BELGAUM,44:26.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report .,Generally clear. High 37ï¿½ï¿½C. Winds W at 15 to 25 k,KARNATAKA,BELGAUM,BYLAHONGAL,54:10.3
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Plant Protection in chilli,Recommended to spray imidachloprid 0.5ml in one litre of water,KARNATAKA,BELGAUM,BYLAHONGAL,55:18.7
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of ATHNI Taluk,Generally clear. Hot. High 41ï¿½ï¿½C. Winds NW at 15 to 25 k,KARNATAKA,BELGAUM,ATHNI,55:55.0
,AGRICULTURE,Others,Others,Weather,Asked about  weather reportof chikodi,Generally clear. Hot. High 39ï¿½ï¿½C. Winds WNW at 15 to 25 k,KARNATAKA,BELGAUM,CHIKODI,44:54.1
,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",Asked about Disease management in Ridge gourd (downy mildew),Downy mildew; Cone shaped yellow spots on leaves.management; Spray 2.0 g Metalaxyl MZ or 2.0 g Cyamaxil+Mancozeb in a lit. water. 200 lit. spray solution/acre.,KARNATAKA,BELGAUM,KHANAPUR,28:10.2
,HORTICULTURE,Vegetables,Ridge Gourd,"	Plant Protection	",Asked about Disease management in ridge gourd (leaf curl),Recommended to spray  imidachloprid 0.5ml per litre,KARNATAKA,BELGAUM,KHANAPUR,29:17.4
,AGRICULTURE,Others,Others,Government Schemes,Asked about General information related to drip system.,Information is given and also suggested to contact raitha samparka kendra for further details.,KARNATAKA,BELGAUM,RAYBAG,57:51.8
,AGRICULTURE,Others,Others,Weather,Asked about  weather reportof hukeri,Generally clear. Hot. High 38ï¿½ï¿½C. Winds WNW at 15 to 25 k,KARNATAKA,BELGAUM,HUKERI,10:36.0
,AGRICULTURE,Others,Others,Market Information,Asked about Market Price for,COMMODITY: RagiMarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BENGALURUFineAverage115Quintal280032003000,KARNATAKA,BELGAUM,BELGAUM,00:59.0
,AGRICULTURE,Others,Others,Training and Exposure Visits,Asked about General information  field distribution,Recommended to contact  near by lawyer,KARNATAKA,BELGAUM,GOKAK,36:19.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Taluk,Generally clear. Low 20ï¿½ï¿½C. Winds W at 15 to 25 k,KARNATAKA,BELGAUM,KHANAPUR,02:46.8
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management in Sugarcane,Recommended to Apply  17:17:17 50kgs/acre,KARNATAKA,BELGAUM,GOKAK,16:25.1
,HORTICULTURE,Fruits,Guava,Seeds and Planting Material,Asked about seeds and plant material in  Guava,"VarietiesPlanting timeSpacing (Feet)Grafts (acre)Yield (tons/acre)Allahabad Safeda, Sardar (Lucknow - 49), Arka mrudula (Hybrid - 1), NavlurJune-July18 x 1822 x 221107010 years and above plants1000 - 1500 fruits per plant(8 - 12 tons/acre)",KARNATAKA,BELGAUM,ATHNI,28:32.9
,AGRICULTURE,Fruits,Guava,Market Information,Asked about help line.,APMC Help Line18004251552,KARNATAKA,BELGAUM,ATHNI,30:45.3
,AGRICULTURE,Others,Others,Weather,we r unable to pick call,we r unable to pick call,KARNATAKA,BELGAUM,ATHNI,07:31.6
,AGRICULTURE,Others,Others,Weather,we r unable to pick call,we r unable to pick call,KARNATAKA,BELGAUM,ATHNI,08:14.9
,AGRICULTURE,Others,Others,Weather,Asked about weather report,"Athani, Karnataka 5 Day Weather17:06 ISTPrintDAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT15 MAYClear--24ï¿½ï¿½0%W 22 km/h41%THU16 MAYSunny41ï¿½ï¿½25ï¿½ï¿½0%NNW 17 km/h25%FRI17 MAYSunny41ï¿½ï¿½27ï¿½ï¿½0%N 21 km/h23%SAT18 MAYMostly Sunny42ï¿½ï¿½29ï¿½ï¿½0%N 24 km/h24%SUN19 MAYMostly Sunny42ï¿½ï¿½29ï¿½ï¿½0%NNE 23 km/h20%MON20 MAY",KARNATAKA,BELGAUM,ATHNI,09:28.2
,AGRICULTURE,Millets,Maize (Makka),Market Information,Asked about Market report ofmaize,COMMODITY: MaizeMarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BENGALURUHybrid/LocalAverage126Quintal250027002600HIREKERURHybrid/LocalMedium5962Quintal195021002050KUDCHIHybrid/LocalAverage56Quintal179019001800BALLARILocalAverage10Quintal195822242138BHADRAVATHILocalAverage100Quintal180018001800DAVANAGERELocalAverage363Quintal198022002100HANGALLocalMedium2301Quintal180021001800HAVERILocalMedium1893Quintal190020502000HONNALILocalMedium304Quintal185019901950HUBBALLILocalAverage15Quintal180118011801SHIKARIPURLocalMedium280Quintal180020001900TUMAKURULocalAverage87Quintal175022002100,KARNATAKA,BELGAUM,GOKAK,11:00.8
,AGRICULTURE,Others,Others,Weather,"Asked about  weather reportBelgaum, Karnataka 10 Day Weather",Recommended to  contact  VARUNA MITRA -08067735999,KARNATAKA,BELGAUM,ATHNI,31:49.7
,AGRICULTURE,Others,Others,Weather,Asked about weather report,DAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT15 MAYT-Storms Early--22ï¿½ï¿½80%W 9 km/h87%THU16 MAYPartly Cloudy35ï¿½ï¿½22ï¿½ï¿½20%NW 8 km/h62%FRI17 MAYMostly Sunny35ï¿½ï¿½22ï¿½ï¿½20%WNW 8 km/h61%SAT18 MAYPM T-Storms35ï¿½ï¿½22ï¿½ï¿½40%NW 8 km/h60%SUN19 MAYMostly Sunny36ï¿½ï¿½23ï¿½ï¿½20%NNW 10 km/h54%MON20 MAYPa,KARNATAKA,BELGAUM,BELGAUM,34:04.6
,AGRICULTURE,Others,Others,Weather,Asked about weather information,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 08067735999",KARNATAKA,BELGAUM,CHIKODI,15:23.7
,HORTICULTURE,Vegetables,Tomato,Seeds and Planting Material,Asked about cultural practices in  tomato,Suggested toImpact of intercropping tomato and maize on the infestation of tomato fruit borer [Helicoverpa armigera. (Hubner)],KARNATAKA,BELGAUM,RAYBAG,35:24.9
,AGRICULTURE,Others,Others,Weather,Asked about weather information,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 08067735999",KARNATAKA,BELGAUM,BELGAUM,23:09.9
,AGRICULTURE,Others,Others,Cultural Practices,Asked for crop improvement,Samrudhi 4 gram per lit of water,KARNATAKA,BELGAUM,PARASGAD,08:22.4
,AGRICULTURE,Others,Others,Cultural Practices,Asked about General information,Given as per the guidelines,KARNATAKA,BELGAUM,PARASGAD,46:43.9
,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",Asked about  pest management in Pomogranate,"Thrips;  Lacerate the leaf and fruits. White patches on leaves, rough surface of the fruit.Management;  Spray 0.3 ml. Imidacloprid 17.8 SL. in a lit. water.",KARNATAKA,BELGAUM,ATHNI,25:09.4
,HORTICULTURE,Fruits,Pomegranate,"	Plant Protection	",Asked about General information of better fruit growth in pomogranate,Recommended to spray  pomogranate special 3-4 gram per litre of water,KARNATAKA,BELGAUM,ATHNI,27:32.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of hukeri taluk,Generally clear. Hot. High 39ï¿½ï¿½C. Winds NW at 10 to 15 k,KARNATAKA,BELGAUM,HUKERI,32:38.3
,AGRICULTURE,Others,Others,Weather,Asked about weather report .,"Cloudy weather, No chance of occurrence of rain today. For accurate and more information about weather, please contact Varunamitra helpline 08067735999, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,CHIKODI,33:44.5
,AGRICULTURE,Others,Others,Government Schemes,Asked about General information on krishi honda,suggested to contact 08336-222684,KARNATAKA,BELGAUM,KHANAPUR,39:35.0
,AGRICULTURE,Pulses,Pigeon pea (red gram/arhar/tur),Varieties,"Asked about varieties, seed rate and yield in redgram.","Varieties:-ICP - 7035,BRG - 1,2,4,5,TTB - 7 Seed rate:-5 - 6 kg/acre.Yield (q/acre):-5 - 6",KARNATAKA,BELGAUM,ATHNI,43:29.6
,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Varieties,"Asked about varieties,seed rate and yield.","Varieties:-Pusa Baisaki,PDM 84 - 178,KKM - 3Seed Rate (kg/acre):-6 - 8Yield (q/acre):-2 - 3",KARNATAKA,BELGAUM,ATHNI,45:34.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Khanapur taluk,Generally clear. High 38ï¿½ï¿½C. Winds WNW at 15 to 25 k,KARNATAKA,BELGAUM,KHANAPUR,45:49.8
,AGRICULTURE,Others,Others,Weather,Asked about weather report .,"Cloudy weather, No chance of occurrence of rain today. For accurate and more information about weather, please contact Varunamitra helpline 08067735999, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,ATHNI,29:36.1
,HORTICULTURE,Vegetables,Drum Stick,Cultural Practices,ASKED ABOUT DRUMSTICK CULTIVATION,"Verities:Jafna, Chavakacheri, Murunga,G . K . V . K - 1,G . K . V . K - 2,G . K . V . K - 3, Dhanaraj (Selection 6/4),P . K . M. - 1, Bhagya (K . D . M - 1)Seeds (g/acre): Dwarf varieties Seeds 100 g seedlings 372, Tall varieties Seeds 40 g seedlings 156Sowing time:June-July and irrigated crop throughout the yearSpacing (feet): Dwarf varieties 9.75 x 9.75, Tall varieties 15 x 15Yield (tons/acre): Each plant after 2 years 200-250 pods. Tall varieties 75 -100 pods per plant",KARNATAKA,BELGAUM,ATHNI,40:47.0
,AGRICULTURE,Others,Others,Cultural Practices,Asked about General information  on agriculture,suggested to grow cabbage cauliflower sunflower,KARNATAKA,BELGAUM,GOKAK,34:54.0
,AGRICULTURE,,,Training and Exposure Visits,Asked about government schemes,suggested to contact kvk,KARNATAKA,BELGAUM,GOKAK,40:57.3
,AGRICULTURE,Others,Others,Weather,Asked about weather report  of  raybag taluk.,Precipitation 0% there is no rain fall next 3 days Further more details please kindly contact varuna mitra helpline number 08067735999,KARNATAKA,BELGAUM,RAYBAG,47:22.6
,AGRICULTURE,Others,Others,Weather,Asked about  weather report of hukeri,Generally clear. Hot. High 38ï¿½ï¿½C. Winds WNW at 15 to 25 k,KARNATAKA,BELGAUM,HUKERI,09:17.2
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of Athani  Taluk,Generally clear. Hot. High 40ï¿½ï¿½C. Winds WNW at 10 to 15 k,KARNATAKA,BELGAUM,ATHNI,26:43.2
,AGRICULTURE,Others,Others,Weather,Asked about weather report .,"Cloudy weather, No chance of occurrence of rain today. For accurate and more information about weather, please contact Varunamitra helpline 08067735999, 1800220161, 08022211118, 08022235675.",KARNATAKA,BELGAUM,ATHNI,51:12.4
,HORTICULTURE,Fruits,Banana,Seeds and Planting Material,ASKED ABOUT SEEDS AND PLANTING MATERIALS OF BANANA,SUGGESTED TO CONTACT HORTICULTURE DEPARTMENT S.A.D.H.Ramadurga08335-241512,KARNATAKA,BELGAUM,RAMDURG,17:54.8
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Athani,Generally clear. Hot. High 40ï¿½ï¿½C. Winds W at 10 to 15 km/h.GKVK Helpline080-2362,KARNATAKA,BELGAUM,ATHNI,46:11.3
,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Nutrient Management,Asked about Nutrient management in sugarcane,Recommended to Application of 5% kaolin spray reduces transpiration losses,KARNATAKA,BELGAUM,HUKERI,16:46.0
,AGRICULTURE,Others,Others,Nutrient Management,asked for general information,asked for general information,KARNATAKA,BELGAUM,CHIKODI,48:19.5
,HORTICULTURE,Vegetables,Bitter Gourd,Cultural Practices,Asked about General information,Suggested to the farmer as per the guidance under the horticulture  pop,KARNATAKA,BELGAUM,ATHNI,22:32.0
,AGRICULTURE,Others,Others,Weather,Asked about weather reportof bylahongal,Precipitation 1%Sunshine and patchy clouds; very warm; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,BYLAHONGAL,44:14.0
,AGRICULTURE,Pulses,Black Gram (urd bean),Varieties,Asked about varieties of Black gram,"suggested-Khargaon - 3,T - 9,Rashmi (LBG - 625)",KARNATAKA,BELGAUM,CHIKODI,20:07.0
,AGRICULTURE,Pulses,Black Gram (urd bean),Sowing Time and Weather,Asked about seed treatment in Black gram,"Before sowing, treat the seeds with 200 g. Rhizobium and 200 g. Phosphorous Solubilising Bacteria (PSB) culture/acre.Before sowing, soak the seeds in 2% calcium chloride for thirty minutes and shade dry the seeds for 7 - 8 hours, will increase resistance to drought.",KARNATAKA,BELGAUM,CHIKODI,21:07.3
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of Chikodi Taluk,Generally clear. Hot. High 40ï¿½ï¿½C. Winds NW at 10 to 15 k,KARNATAKA,BELGAUM,CHIKODI,59:22.5
,HORTICULTURE,Plantation Crops,,Training and Exposure Visits,Asked about general information  about polutry,"Asked about general information   Poultry deparment08028866093, 08023411483",KARNATAKA,BELGAUM,RAMDURG,23:01.2
,AGRICULTURE,,,Market Information,Asked about market rate of   maize,BAGALKOTHybrid/LocalMedium21Quintal202521252112,KARNATAKA,BELGAUM,RAMDURG,24:15.6
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Taluk Athni,Generally clear. Hot. High 41ï¿½ï¿½C. Winds NNW at 10 to 15 k,KARNATAKA,BELGAUM,ATHNI,35:36.1
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of Chikodi Taluk,Generally clear. Hot. High 40ï¿½ï¿½C. Winds NW at 10 to 15 k,KARNATAKA,BELGAUM,CHIKODI,40:04.9
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of Athani  Taluk,Generally clear. Hot. High 41ï¿½ï¿½C. Winds NNW at 10 to 15 k,KARNATAKA,BELGAUM,ATHNI,48:53.4
,HORTICULTURE,Condiments and Spices,Ginger,Seeds and Planting Material,Asked about cultural practices  in Ginger,"Suprabhta, Suruchi, Suravi, Himagiri, Varadha, Rejatha.Local VeritiesChina, Assam, Maron, Himachal, Nadiya, Rio-de-geniro, Wynad Manantadi, Kurupampadi, Ernad, Wynad.April, May, JuneLength9 - 15 feet, width 3 feet plots, 1 feet row space600 kgs Rhizome/acre15 - 20 tons/acre raw ginger",KARNATAKA,BELGAUM,CHIKODI,11:50.6
,AGRICULTURE,Fiber Crops,Cotton (Kapas),Varieties,Asked about varieties,Vijathi Shaktiman hybrids D.H.B -105,KARNATAKA,BELGAUM,HUKERI,17:45.0
,AGRICULTURE,Others,Others,Cultural Practices,Asked about General information,Given as per the guidelines,KARNATAKA,BELGAUM,BELGAUM,54:16.0
,AGRICULTURE,Others,Others,Weather,Asked about weather information about taluk  Ramdurga,Clear--26ï¿½ï¿½0%WNW 17 km/h40%UV INDEXSUNRISESUNSETMOONRISEMOONSET0 of 1005:5818:5217:3104:45Generally clear. Low 26ï¿½ï¿½C. Winds WNW at 15 to ,KARNATAKA,BELGAUM,RAMDURG,23:51.0
,AGRICULTURE,Others,Others,Weather,Asked about General information,Asked about General information,KARNATAKA,BELGAUM,BELGAUM,04:35.8
,AGRICULTURE,Others,Others,Weather,CALL DISCONNECTED,CALL DISCONNECTED,KARNATAKA,BELGAUM,BELGAUM,08:38.4
,AGRICULTURE,Others,Others,Weather,Asked about  weather report,"Athani, Karnataka 5 Day Weather18:25 ISTPrintDAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT17 MAYClear--27ï¿½ï¿½0%WNW 16 km/h39%SAT18 MAYSunny42ï¿½ï¿½29ï¿½ï¿½0%NNE 24 km/h24%SUN19 MAYMostly Sunny42ï¿½ï¿½28ï¿½ï¿½0%NNE 23 km/h20%MON20 MAYMostly Sunny43ï¿½ï¿½28ï¿½ï¿½0%NNE 19 km/h21%TUE21 MAYMostly Sunny42ï¿½ï¿½27ï¿½ï¿½0%NNW 17 km/h27%WED22 MA",KARNATAKA,BELGAUM,ATHNI,25:26.7
,AGRICULTURE,Millets,FingerMillet  (Ragi/Mandika),Market Information,Asked about Market Price for Ragi.,MarketVarietyGradeArrivalsUnitsMin (Rs.)Max (Rs.)Modal (Rs.)BENGALURUFineAverage204Quintal280032003000HARAPANAHALLILocalFAQ660Quintal200022802278,KARNATAKA,BELGAUM,BELGAUM,40:40.1
,AGRICULTURE,Others,Others,Market Information,Asked about Market Price of maize,BAGALKOTHybrid/LocalMedium21Quintal202521252112BENGALURUHybrid/LocalAverage270Quintal250027002600BALLARILocalAverage5Quintal197519751975DAVANAGERELocalAverage634Quintal194021352050GADAGLocalAverage1Quintal181118111811HANGALLocalMedium3154Quintal180020202000HONNALILocalMedium238Quintal190020101950HUBBALLILocalAverage290Quintal199521352075NARGUNDLocalMedium384Quintal230023002300SHIKARIPURLocalMedium176Quintal200021502100,KARNATAKA,BELGAUM,BELGAUM,46:33.2
,HORTICULTURE,Vegetables,Chillies,Nutrient Management,Asked about Nutrient management in  Chilli,Recommended to Apply  Boran Chelated 1gms/liter,KARNATAKA,BELGAUM,KHANAPUR,18:43.5
,AGRICULTURE,Others,Others,Weather,Asked about weather information,"There is no chance of  rain today. For accurate weather forecast information, please contact weather helplines. Varunamitra: 08067735999",KARNATAKA,BELGAUM,ATHNI,26:32.8
,AGRICULTURE,Others,Others,Weather,Asked about  weather report of athni,Generally clear. High 42ï¿½ï¿½C. Winds N at 15 to 30 k,KARNATAKA,BELGAUM,ATHNI,41:46.8
,AGRICULTURE,Others,Others,Weather,Asked about  weather report of raybhag,Generally clear. High 40ï¿½ï¿½C. Winds NNE at 15 to 30 km/h.Recommended to  contact  VARUNA MITRA -0806773,KARNATAKA,BELGAUM,RAYBAG,55:07.9
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Athni taluk,Precipitation 0%Partly sunny; hot; air quality will be unhealthy for sensitive groups,KARNATAKA,BELGAUM,ATHNI,00:30.5
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Plant Protection in chilli,suggested to spray neem oil 2ml in one liter of water,KARNATAKA,BELGAUM,PARASGAD,09:05.6
,AGRICULTURE,Others,Others,Weather,Asked about weather information about athni taluk,Generally clear. High 41ï¿½ï¿½C. Winds N at 15 to 30 k,KARNATAKA,BELGAUM,ATHNI,08:16.4
,AGRICULTURE,Others,Others,Weather,Asked about weather report Athni,Generally clear. High 41ï¿½ï¿½C. Winds N at 15 to 30 k,KARNATAKA,BELGAUM,ATHNI,33:45.2
,AGRICULTURE,Others,Others,Weather,Asked about Weather report of  Taluk,UV INDEXSUNRISESUNSETMOONRISEMOONSETExtreme05:5018:4918:2505:23,KARNATAKA,BELGAUM,PARASGAD,08:23.5
,AGRICULTURE,Others,Others,Weather,Asked about weather report of ramdurg taluk,Partly cloudy. High 40ï¿½ï¿½C. Winds NNE at 15 to 25 k,KARNATAKA,BELGAUM,RAMDURG,13:49.0
,AGRICULTURE,Others,Others,Weather,Asked about  weather report savadatti taluk,"Mostly sunny; hot, less humidRecommended to  contact  VARUNA MITRA -08067735999",KARNATAKA,BELGAUM,PARASGAD,27:55.7
,AGRICULTURE,Others,Others,Weather,Asked about weather information about taluk athini,Mostly Sunny41ï¿½ï¿½28ï¿½ï¿½0%N 12 km/h16%UV INDEXSUNRISESUNSETMOONRISEMOONSET9 of 1005:5718:5418:3105:30Generally clear. High 41ï¿½ï¿½C. Winds N at 10,KARNATAKA,BELGAUM,ATHNI,53:06.4
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Athni taluk,Generally clear. Low 28ï¿½ï¿½C. Winds NNW at 15 to 25 k,KARNATAKA,BELGAUM,ATHNI,50:13.5
,AGRICULTURE,Others,Others,Cultural Practices,PM fasal bhima yojana helpline,"PM fasal bhima yojana - 01123382401,01123381022",KARNATAKA,BELGAUM,BYLAHONGAL,50:51.7
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",ASKED ABOUT CONTROL OF SUCKIUNG PEST AND CONTROL OF FLOWER DROP  IN CHILLI,Recommended to spray 3.0 g. Wettable sulphur/lit. water for SFFECTIVE control of sucking pest AND flower drop spray vegetable special 4g per liter of water.,KARNATAKA,BELGAUM,KHANAPUR,53:17.4
,AGRICULTURE,Others,Others,Cultural Practices,Crop insurance helpline,"Crop insurance,08022074123, 18004257919",KARNATAKA,BELGAUM,BYLAHONGAL,02:03.2
,AGRICULTURE,Others,Others,Weather,BLANK CALL,BLANK CALL,KARNATAKA,BELGAUM,GOKAK,10:11.3
,AGRICULTURE,Others,Others,Weather,Asked about weather report of Chikodi taluk,Generally clear. Low 26ï¿½ï¿½C. Winds NW at 10 to 15 k,KARNATAKA,BELGAUM,CHIKODI,15:24.0
,HORTICULTURE,Fruits,Pomegranate,Nutrient Management,Asked about Nutrient management in Pomagrante,Asked about Plant Protection in  Phantum plus 0.5ml/liter Boran Chelated 1gms/liter,KARNATAKA,BELGAUM,GOKAK,17:51.6
,AGRICULTURE,Others,Others,Weather,1123381092,1123381092,KARNATAKA,BELGAUM,RAMDURG,57:34.0
,AGRICULTURE,Others,Others,Weather,Asked about weather information about taluk Athini,Partly Cloudy--28ï¿½ï¿½0%NNW 17 km/h29%UV INDEXSUNRISESUNSETMOONRISEMOONSET0 of 1005:5718:5418:3105:30Partly cloudy. Low 28ï¿½ï¿½C. Winds NNW at 15 to ,KARNATAKA,BELGAUM,ATHNI,01:08.2
,HORTICULTURE,Fruits,Papaya,"	Plant Protection	",Asked about Plant Protection in  papaya,Recommended to spray Imidacloprid 17.8 SL.- 0.5 ml per lit. water,KARNATAKA,BELGAUM,HUKERI,28:33.0
,AGRICULTURE,Others,Others,Weather,Asked about weather report,DAYDESCRIPTIONHIGH / LOWPRECIPWINDHUMIDITYTONIGHT18 MAYT-Storms Early--25ï¿½ï¿½40%SSW 13 km/h57%SUN19 MAYMostly Sunny40ï¿½ï¿½25ï¿½ï¿½0%NNW 11 km/h39%MON20 MAYMostly Sunny39ï¿½ï¿½25ï¿½ï¿½0%WSW 12 km/h42%TUE21 MAYPartly Cloudy39ï¿½ï¿½25ï¿½ï¿½10%WSW 14 km/h45%WED22 MAYMostly ,KARNATAKA,BELGAUM,CHIKODI,46:18.8
,AGRICULTURE,Others,Others,Weather,Asked about weather report of bylahongal,18 May Rainfall(MM) : 0 Temp(Max/Min):0 /0  Humidity(Max/Min)0 /0  Wind:0,KARNATAKA,BELGAUM,BYLAHONGAL,00:54.7
,ANIMAL HUSBANDRY,Animal,"Bovine(Cow,Buffalo)",Animal Nutrition,Asked about animal husbandry Help line.,Animal husbandry & Veterinary Contact number 1800 425 0012 and 080 23417100,KARNATAKA,BELGAUM,CHIKODI,02:11.9
,HORTICULTURE,Vegetables,Chillies,"	Plant Protection	",Asked about Plant Protection in,confidor 0.5 + dicofol 1.5 ml per liter of water,KARNATAKA,BELGAUM,RAMDURG,15:40.1
,AGRICULTURE,Others,Others,Weather,Asked about weather report of RAYBAG,"0%there is no chances of occurrence of rain. For accurate weather  information, please contact weather helplines. Varunamitra-  08067735999 Partly cloudy. Low 26ï¿½ï¿½C. Winds NW at 15 to 25 k",KARNATAKA,BELGAUM,RAYBAG,42:23.0
